No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,MSFT,Microsoft Corporation,2984659139200,401.74,0.66%,227583000000
2,AAPL,Apple Inc,2573315425500,166.66,1.01%,385706000000
3,NVDA,NVIDIA Corporation,1995175250000,799.12,4.87%,60922000000
4,GOOGL,Alphabet Inc.,1960274911208,156.94,1.85%,307394000000
5,GOOG,Alphabet Inc.,1959040783285,158.49,1.78%,307394000000
6,AMZN,"Amazon.com, Inc.",1845777486080,177.56,1.68%,574785000000
7,META,"Meta Platforms, Inc.",1236996950465,485.38,0.90%,134902000000
8,AVGO,Broadcom Inc.,568126340740,1225.98,1.77%,38865000000
9,TSLA,"Tesla, Inc.",453822001803,142.38,-3.18%,96773000000
10,ASML,ASML Holding N.V.,344732218582,876.31,1.95%,28372065217
11,COST,Costco Wholesale Corporation,317491208480,716.18,0.94%,248828000000
12,PEP,"PepsiCo, Inc.",242765570900,176.55,1.39%,91471000000
13,AMD,"Advanced Micro Devices, Inc.",240881973200,149.16,1.72%,22680000000
14,NFLX,"Netflix, Inc.",240690293000,556.32,0.23%,33723297000
15,AZN,AstraZeneca PLC,217608067123,70.19,2.40%,45811000000
16,LIN,Linde plc,216034993600,448.62,0.52%,32854000000
17,ADBE,Adobe Inc.,210754040000,466.26,0.27%,19936000000
18,CSCO,"Cisco Systems, Inc.",196243993350,48.46,0.28%,57233000000
19,TMUS,"T-Mobile US, Inc.",193020668100,162.65,0.20%,78558000000
20,QCOM,QUALCOMM Incorporated,179932680000,161.29,2.32%,36292000000
21,INTU,Intuit Inc.,170887982440,610.62,0.90%,15094000000
22,PDD,PDD Holdings Inc.,163216925112,122.93,8.32%,34927955571
23,CMCSA,Comcast Corporation,160735161650,40.57,0.82%,121572000000
24,AMAT,"Applied Materials, Inc.",158136317040,190.35,0.31%,26485000000
25,TXN,Texas Instruments Incorporated,149131695770,163.96,2.68%,17519000000
26,AMGN,Amgen Inc.,145791404760,272.09,1.18%,28190000000
27,INTC,Intel Corporation,145733663600,34.47,0.79%,54228000000
28,ISRG,"Intuitive Surgical, Inc.",131330443480,370.66,1.18%,7318500000
29,HON,Honeywell International Inc.,127801584720,195.99,0.89%,36662000000
30,MU,"Micron Technology, Inc.",121533857500,109.85,2.88%,18312000000
31,BKNG,Booking Holdings Inc.,118766094440,3475.31,1.77%,21365000000
32,LRCX,Lam Research Corporation,114165147915,871.48,0.14%,14317147000
33,SNY,Sanofi,110304353292,47.01,1.53%,51604444444
34,VRTX,Vertex Pharmaceuticals Incorporated,104454795686,404.28,2.54%,9869200000
35,ADP,"Automatic Data Processing, Inc.",101407866260,246.97,1.50%,18586000000
36,ABNB,"Airbnb, Inc.",101182565458,156.65,1.05%,9917000000
37,SBUX,Starbucks Corporation,100222344000,88.52,1.03%,36687000000
38,REGN,"Regeneron Pharmaceuticals, Inc.",97903049120,906.77,1.11%,13117200000
39,ARM,Arm Holdings plc,96001675903,93.39,7.11%,2955000000
40,ADI,"Analog Devices, Inc.",93198469980,187.97,2.51%,11568613000
41,MDLZ,"Mondelez International, Inc.",92921661984,69.02,1.33%,36016000000
